property_number,venue_name,venue_address,suburb,postcode,space_type,website,lat,lon
640957,Man Tong Kitchen,"Shop 46B, Ground, 8 Whiteman Street, Southbank, 3006",Southbank,3006,Bar,http://www.mantongkitchen.com.au/,-37.82237743,144.9601366
513494,Randy Dragon,"Unit 1, Basement, 313-315 Flinders Lane, Melbourne, 3000",Melbourne,3000,Bar,http://www.randydragon.com.au/,-37.81745674,144.9637891
105749,QV Melbourne,"278-300 Swanston Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.qv.com.au,-37.8110354,144.9646718
601617,Lion Hotel at Melbourne Central,"Shop 303, Level 3, 300 Lonsdale Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.acemelbourne.com.au/mclion/,-37.81049466,144.9626089
559367,Robot Bar,"12 Bligh Place, Melbourne, 3000",Melbourne,3000,Bar,http://www.robotsushi.com/,-37.81710897,144.9637045
560832,Disco Bar,"Level 1-4, 167-175 Franklin Street, Melbourne, 3000",Melbourne,3000,Bar,https://www.tripadvisor.com.au/LocationPhotoDirectLink-g255100-d286290-i126403786-Discovery_Melbourne-Melbourne_Victoria.html,-37.80871597,144.9590246
602017,Hopscotch Urban Beer Bar,"Shop 4, 4 Riverside Quay, Southbank, 3006",Southbank,3006,Bar,https://www.hopscotchmelbourne.com.au/,-37.82109278,144.9637445
516520,Max Bar and Restaurant,"Ground, 54 Hardware Lane, Melbourne, 3000",Melbourne,3000,Bar,http://maxonhardware.com.au/,-37.81347367,144.9611947
589716,Watermark Docklands,"Shop 9, 800 Bourke Street, Docklands, 3008",Docklands,3008,Bar,http://www.watermarkdocklands.com.au/,-37.81926761,144.9452695
110349,Testing Grounds,"1-23 City Road, Southbank, 3006",Southbank,3006,Bar,http://www.testing-grounds.com.au/,-37.82122195,144.9675571
105968,Magic Mountain Saloon,"62 Little Collins Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.magicmountainsaloon.com.au/,-37.8128654,144.97151
681520,401 The Order,"Level 2 & Roof, 401 Swanston Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.theorder.com.au/,-37.80903643,144.9633771
540126,Left Bank Melbourne,"Ground, 1 Southbank Boulevard, Southbank, 3006",Southbank,3006,Bar,http://www.leftbankmelbourne.com.au/,-37.82098854,144.9625167
681513,Bomba Tapas Bar and Rooftop,"Ground & Rooftop, 103 Lonsdale Street, Melbourne, 3000",Melbourne,3000,Bar,https://bombabar.com.au/,-37.81038063,144.9692358
645472,The Drunken Poet,"Ground, 65 Peel Street, West Melbourne, 3003",West Melbourne,3003,Bar,http://www.thedrunkenpoet.com.au/,-37.80669547,144.9556082
575210,Eau de Vie,"Rear, 88 Flinders Street, Melbourne, 3000",Melbourne,3000,Bar,,-37.81602795,144.9718132
544022,Polepole Bar,"Ground & Level 1, 267 Little Collins Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.polepolebar.com.au/,-37.81471253,144.9655624
574265,GoGo Bar,"Basement, 125 Flinders Lane, Melbourne, 3000",Melbourne,3000,Bar,https://www.chinchinrestaurant.com.au/melbourne/gogo-bar/,-37.81553872,144.9703604
588906,Horse Bazaar,"Ground, 397 Little Lonsdale Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.horsebazaar.com.au/,-37.81181776,144.9601854
678337,Good Heavens,"Level 2, 79 Bourke Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.goodheavens.com.au/,-37.81207865,144.9710528
664076,Berlin Bar,"Level 1, 16-20 Corrs Lane, Melbourne, 3000",Melbourne,3000,Bar,http://www.berlinbar.com.au/,-37.81115704,144.9683765
513483,The Mill House Bar,"Unit 1, Basement, 277 Flinders Lane, Melbourne, 3000",Melbourne,3000,Bar,http://themillhouse.com.au/,-37.81703741,144.9652433
102064,Harley House,"71 Collins Street, Melbourne, 3000",Melbourne,3000,Bar,https://harleyhouse.com.au/,-37.81424169,144.971301
503039,Spaghetti Tree Restaurant,"Ground, 59-63 Bourke Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.spaghettitree.com.au/,-37.81195322,144.9714825
681851,The Irish Times Pub,"Gnd & Flr1, 427 Little Collins Street, Melbourne, 3000",Melbourne,3000,Bar,http://theirishtimespub.com.au/,-37.81619295,144.9604635
575245,Ferdydurke,"Level 1-2, 239 Lonsdale Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.ferdydurke.com.au/,-37.81152723,144.9653532
598592,RACV City Club,"501 Bourke Street, Melbourne, 3000",Melbourne,3000,Hotel,https://www.racv.com.au/travel-leisure/racv-club/city-club.html,-37.81557208,144.9591017
105379,Colonial Hotel/Brown Alley Night Club,"240 King Street, Melbourne, 3000",Melbourne,3000,Hotel,https://www.thecolonialhotel.com.au/,-37.81460565,144.9550937
103402,Town Hall Hotel,"33 Errol Street, North Melbourne, 3051",North Melbourne,3051,Hotel,http://www.townhallhotelnorthmelbourne.com.au/,-37.80422448,144.9492425
634051,Munich Brauhaus,"45 South Wharf Promenade, South Wharf, 3006",South Wharf,3006,Hotel,http://www.munichbrauhaus.com/,-37.82407577,144.9504333
110111,Royal Standard Hotel,"333-337 William Street, West Melbourne, 3003",West Melbourne,3003,Hotel,http://www.royalstandardhotel.com.au/,-37.80777174,144.9544062
110106,The Metropolitan Hotel,"The Metropolitan Hotel, 263-265 William Street, Melbourne, 3000",Melbourne,3000,Hotel,http://metropolitan.melbourne/,-37.8129114,144.9567624
103922,Garden State Hotel,"95-101 Flinders Lane, Melbourne, 3000",Melbourne,3000,Hotel,http://gardenstatehotel.com.au/,-37.81533365,144.9710389
108536,The Crafty Squire,"115-127 Russell Street, Melbourne, 3000",Melbourne,3000,Hotel,http://www.thecraftysquire.com.au/,-37.81364054,144.9682966
109721,Three Crowns Hotel,"361-365 Victoria Street, West Melbourne, 3003",West Melbourne,3003,Hotel,https://www.threecrownshotel.com.au/,-37.80528791,144.9494898
564954,Flinders Station Hotel Backpackers,"Unit 8-17, Level 3-12, 35 Elizabeth Street, Melbourne, 3000",Melbourne,3000,Hotel,https://oconnells.com.au/,-37.81739448,144.9644989
613003,P.J. O'Brien's,"Shop 12-16, Ground, 3 Southgate Avenue, Southbank, 3006",Southbank,3006,Hotel,http://www.pjobriens.com.au/southbank/,-37.82033398,144.966418
634045,The General Assembly,"29 South Wharf Promenade, South Wharf, 3006",South Wharf,3006,Hotel,http://www.thegeneralassembly.com.au/,-37.82411829,144.9518903
101613,Clyde Hotel,"377-389 Cardigan Street, Carlton, 3053",Carlton,3053,Hotel,https://www.theclydehotel.com.au/location/,-37.7972842,144.9658479
108983,The Hotel Windsor,"103-137 Spring Street, Melbourne, 3000",Melbourne,3000,Hotel,http://www.thehotelwindsor.com.au/,-37.81195937,144.9731363
108202,Capitano,"421 Rathdowne Street, Carlton, 3053",Carlton,3053,Hotel,https://www.thebeaufort.com.au/,-37.79645167,144.9705082
512532,Coopers Inn,"Shop 1, 242 Exhibition Street, Melbourne, 3000",Melbourne,3000,Hotel,http://www.coopersinn.com.au/,-37.80991657,144.9697586
628340,The Wharf Hotel,"Shop 17, Ground, 18-38 Siddeley Street, Docklands, 3008",Docklands,3008,Hotel,https://www.wharfhotel.com.au/,-37.82227454,144.9535975
105636,The Leveson,"46 Leveson Street, North Melbourne, 3051",North Melbourne,3051,Hotel,http://theleveson.melbourne/,-37.80370793,144.9511851
102525,The Langham,"234-236 Domain Road, South Yarra, 3141",South Yarra,3141,Hotel,http://www.langhamhotels.com/en/the-langham/melbourne/,-37.8344487,144.9856204
509806,The Botanical,"169 Domain Road, South Yarra, 3141",South Yarra,3141,Hotel,http://www.thebotanical.com.au/,-37.83414392,144.9817926
109257,Young & Jackson,"Young And Jacksons Hotel, 1 Swanston Street, Melbourne, 3000",Melbourne,3000,Hotel,https://www.youngandjacksons.com.au/,-37.81736433,144.9672103
107919,Sokol Melbourne,"497 Queensberry Street, North Melbourne, 3051",North Melbourne,3051,Hotel,http://www.sokolmelbourne.com.au/,-37.8033201,144.9507603
108547,Exford Hotel,"199-203 Russell Street, Melbourne, 3000",Melbourne,3000,Hotel,http://www.exfordhotel.com.au/,-37.81176295,144.9674387
508074,The Charles Dickens Tavern,"Basement, 290 Collins Street, Melbourne, 3000",Melbourne,3000,Hotel,https://whatson.melbourne.vic.gov.au/DiningandNightlife/BarsandPubs/AllPubs/Pages/4952.aspx,-37.81593816,144.9645302
101130,The Carlton,"193-199 Bourke Street, Melbourne, 3000",Melbourne,3000,Hotel,http://www.thecarlton.com.au/,-37.8130947,144.9676167
614233,Transit Rooftop Bar,"Tenancy 29, Level 2, 2 Swanston Street, Melbourne, 3000",Melbourne,3000,Hotel,https://transitrooftopbar.com.au/,-37.81828957,144.9689689
101221,The Elephant and Wheelbarrow,"94-96 Bourke Street, Melbourne, 3000",Melbourne,3000,Hotel,https://bourkest.elephantandwheelbarrow.com.au/,-37.81200304,144.9703259
626980,The Woolshed,"Shed 9, Victoria Harbour, Docklands, 3008",Docklands,3008,Hotel,https://www.woolshed.melbourne/,-37.81657159,144.943994
101450,Dan O'Connell Hotel,"223-227 Canning Street, Carlton, 3053",Carlton,3053,Hotel,http://www.thedan.com.au/,-37.79303583,144.9735257
622055,Spice Market,"LwrGround, 121-131 Collins Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.spicemarket.net.au/,-37.81548539,144.9695654
521316,New Guernica,"Level 2, 318-322 Little Collins Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.newguernica.com.au/,-37.81503811,144.9641086
604756,CQ Melbourne,"Ground, 113 Queen Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.cqmelbourne.com.au/our-venues/cq-nightclub-home,-37.81589018,144.9609037
681548,170 Russell/Billboard Nightclub,"Basement,Part Ground & Part Level 8, 180 Russell Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://billboardsaturdays.com.au/,-37.81205225,144.9679367
567595,Vodka Temple,"Ground, 160-162 Lygon Street, Carlton, 3053",Carlton,3053,Nightclub,https://www.vodkatemple.com.au/,-37.80345202,144.9666383
540197,Therapy Nightclub  at Crown,"Shop 52, Level 2, 8 Whiteman Street, Southbank, 3006",Southbank,3006,Nightclub,http://www.level3atcrown.com.au/,-37.82381122,144.9574145
110392,Fabrique Bar,"272 City Road, Southbank, 3006",Southbank,3006,Nightclub,http://www.fabriquebar.com/,-37.82629052,144.9594461
100730,Melbourne Savage Club,"The Melbourne Savage Club, 12-16 Bank Place, Melbourne, 3000",Melbourne,3000,Nightclub,http://melbournesavageclub.com/,-37.81658693,144.9604365
540198,Co.,"Shop 53, Level 2, 8 Whiteman Street, Southbank, 3006",Southbank,3006,Nightclub,http://www.level3atcrown.com.au/,-37.82363502,144.957813
529290,Eden Bar,"Level 1, 163-165 Russell Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://edenbar.com.au/,-37.81248789,144.9677712
502980,Bond Lounge Bar,"Ground, 20-24 Bond Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.bondmelbourne.com.au/,-37.81818043,144.9628289
520980,Marrakech Bar,"LwrGround, 25 Bank Place, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.marrakechcocktailbar.com.au/,-37.81630543,144.9602164
105395,Inflation Nightclub/Top Yard Rooftop Bar,"54-60 King Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.inflation.com.au/aboutus.htm,-37.81895269,144.9570865
110477,Level 3 at Crown,"8 Whiteman Street, Southbank, 3006",Southbank,3006,Nightclub,http://www.level3atcrown.com.au/,-37.82248527,144.9600541
547502,Platform One,"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.platformone.com.au/,-37.81914828,144.9623231
619895,The Black Rabbit,"Basement, 85 Queen Street, Melbourne, 3000",Melbourne,3000,Nightclub,https://www.blackrabbit.melbourne/,-37.81650699,144.9612023
110477,Mercury Lounge,"8 Whiteman Street, Southbank, 3006",Southbank,3006,Nightclub,http://www.citybars.com.au/Melbourne_bars/Mercury_Lounge/Bar/25607,-37.82242997,144.9600159
631874,Tramp Bar,"Basement, 20 King Street, Melbourne, 3000",Melbourne,3000,Nightclub,https://trampbar.com/,-37.8197758,144.9574698
642863,"Club 23, Crown Melbourne","Restaurant Crown Towers Hotel, Crown Casino, 8 Whiteman Street, Southbank, 3006",Southbank,3006,Nightclub,http://www.level3atcrown.com.au/,-37.82243273,144.9601749
567241,Clique Bar,"Level 1, 26 King Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.cliquebar.com.au/,-37.81961099,144.957393
105705,Club Retro,"383 Lonsdale Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.clubretro.com.au/,-37.81272938,144.9612212
587502,Ms Collins,"Gnd & Mezzanine, 425 Collins Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.mscollins.com.au/,-37.81737789,144.9605538
561179,El Coco,"Ground, 120 King Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://elcoco.com.au/,-37.81726434,144.9563836
682450,La Di Da,"188-200 King Street, Melbourne, 3000",Melbourne,3000,Nightclub,https://www.ladidapeople.com/,-37.81555899,144.9555332
565097,Chaise Lounge,"Basement, 105 Queen Street, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.chaiselounge.com.au/,-37.81607553,144.9610047
664075,Euro House,"Ground, 16-20 Corrs Lane, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.eurohouse.com.au/,-37.8111543,144.9682176
101216,The Croft Institute,"21-25 Croft Alley, Melbourne, 3000",Melbourne,3000,Nightclub,http://www.thecroftinstitute.com.au/,-37.81205274,144.9691239
542683,Khokolat Bar,"Basement, 43-49 Hardware Lane, Melbourne, 3000",Melbourne,3000,Nightclub,http://khokolatbar.com.au/,-37.81359472,144.9611705
609454,Alumbra,"Shed 9, Victoria Harbour, Docklands, 3008",Docklands,3008,Nightclub,http://www.alumbra.com.au/,-37.81656882,144.943835
107871,Colour Nightclub,"229 Queensbury St, Carlton,",Carlton,"ton,",Nightclub,https://www.facebook.com/colournight.club/,-37.80447487,144.9611359
110733,Arts Centre Melbourne,"100 St Kilda Road, Southbank, 3006",Southbank,3006,Performance space,https://www.artscentremelbourne.com.au/,-37.82155286,144.968885
104468,University of Melbourne,"230 Grattan Street, Parkville, 3010",Parkville,3010,Performance space,https://umsu.unimelb.edu.au/,-37.79991021,144.9604735
101979,Ormond Hall,"17 Church Street, Parkville, 3052",Parkville,3052,Performance space,https://www.onlymelbourne.com.au/ormond-hall,-37.78783638,144.9416332
614000,Rod Laver Arena,"Rod Laver Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004",Melbourne,3004,Performance space,https://www.rodlaverarena.com.au/,-37.82258728,144.9777739
620270,Melbourne Recital Centre,"Melbourne Recital Centre, 31 Sturt Street, Southbank, 3006",Southbank,3006,Performance space,https://www.melbournerecital.com.au/,-37.82430328,144.9672846
110273,Melbourne Zoo,"Elliott Avenue, Parkville, 3052",Parkville,3052,Performance space,https://www.zoo.org.au/melbourne,-37.78535415,144.9531734
102955,Festival Hall,"300 Dudley Street, West Melbourne, 3003",West Melbourne,3003,Performance space,http://www.festivalhall.com.au/,-37.81143777,144.9461726
108118,Queen Victoria Market,"65-159 Victoria Street, Melbourne, 3000",Melbourne,3000,Performance space,http://qvm.com.au/,-37.80618853,144.9575349
573333,Federation Square,"2 Swanston Street, Melbourne, 3000",Melbourne,3000,Performance space,http://fedsquare.com/venue-hire,-37.81839878,144.9689659
597955,AAMI Park,"AAMI Park, Olympic Park, 60 Olympic Boulevard, Melbourne, 3004",Melbourne,3004,Performance space,https://www.aamipark.com.au/,-37.82396877,144.9825546
508066,Basement Discs,"Basement, 24 Block Place, Melbourne, 3000",Melbourne,3000,Performance space,http://www.basementdiscs.com.au/,-37.81539881,144.9643969
622017,Shed 14/Peninsula,"161 Harbour Esplanade, Docklands, 3008",Docklands,3008,Performance space,https://www.residentadvisor.net/club.aspx?id=14337,-37.81596806,144.9449729
101101,Alexandra Gardens,"Alexandra Avenue, Melbourne, 3004",Melbourne,3004,Performance space,http://www.visitmelbourne.com/regions/High-Country/Travel-information/Visitor-information-centres/Alexandra-Visitor-Information-Centre.aspx,-37.82080258,144.9718557
109416,Melbourne Town Hall,"90-130 Swanston Street, Melbourne, 3000",Melbourne,3000,Performance space,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/Pages/melbourne-town-hall-rooms-for-hire.aspx,-37.81491254,144.9664536
660469,Margaret Court Arena,"Margaret Court Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004",Melbourne,3004,Performance space,https://www.margaretcourtarena.com.au/,-37.82259001,144.9779329
102153,Assembly Hall,"156 Collins Street, Melbourne, 3000",Melbourne,3000,Performance space,http://www.hallsforhire.com.au/halls/the-assembly-hall,-37.81482479,144.9683182
542429,AIM (Australian Institute of Music),"Gnd & Levels 1 -3, 120 King Street, Melbourne, 3000",Melbourne,3000,Recording,http://www.aim.edu.au/,-37.81726159,144.9562246
537804,Abbey Road Institute,"Suite 1, Ground, 135 Sturt Street, Southbank, 3006",Southbank,3006,Recording,https://abbeyroadinstitute.com.au/,-37.82734192,144.9663653
681564,Speakeasy HQ,"Level 1, 520-522 Flinders Street, Melbourne, 3000",Melbourne,3000,Theatre,http://speakeasy-hq.com/,-37.82035793,144.9569663
102148,Athenaeum Theatre,"184-192 Collins Street, Melbourne, 3000",Melbourne,3000,Theatre,http://www.athenaeumtheatre.com.au/,-37.81509631,144.9673102
103602,Her Majesty's Theatre,"199-219 Exhibition Street, Melbourne, 3000",Melbourne,3000,Theatre,http://www.hmt.com.au/,-37.81089991,144.9698418
108987,The Princess Theatre,"163-181 Spring Street, Melbourne, 3000",Melbourne,3000,Theatre,https://marrinergroup.com.au/venues/princess-theatre,-37.8106837,144.9725545
109417,Regent Theatre,"191-197 Collins Street, Melbourne, 3000",Melbourne,3000,Theatre,https://marrinergroup.com.au/venues/regent-theatre,-37.81534585,144.967538
103619,The Comedy Theatre,"240 Exhibition Street, Melbourne, 3000",Melbourne,3000,Theatre,https://marrinergroup.com.au/venues/comedy-theatre,-37.81021736,144.9698959
110862,Meat Market Art Centre,"36-54 Courtney Street, North Melbourne, 3051",North Melbourne,3051,Theatre,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/meat-market/Pages/meat-market.aspx,-37.80159051,144.9537282
547254,Club Voltaire,"Gnd & Level 1, 14 Raglan Street, North Melbourne, 3051",North Melbourne,3051,Venue,https://www.facebook.com/clubvoltairemelbourne/,-37.80432381,144.9501153
614009,The Comic's Lounge,"Level 1, 26 Errol Street, North Melbourne, 3051",North Melbourne,3051,Venue,https://www.thecomicslounge.com.au/,-37.80449837,144.9495408
657233,The Toff in Town,"Unit S3-S4, Level 2, 252 Swanston Street, Melbourne, 3000",Melbourne,3000,Venue,https://www.thetoffintown.com/,-37.81204362,144.9652115
515538,Paris Cat Jazz Club,"4-6 Goldie Place, Melbourne, 3000",Melbourne,3000,Venue,http://pariscat.com.au/,-37.81355853,144.9607541
104020,The Forum Theatre,"150-162 Flinders Street, Melbourne, 3000",Melbourne,3000,Venue,https://forummelbourne.com.au/,-37.81672152,144.9694951
106081,The Curtin,"John Curtin Hotel, 27-31 Lygon Street, Carlton, 3053",Carlton,3053,Venue,http://www.johncurtinhotel.com/,-37.80621217,144.9658161
577360,Victoria Star Cruises,"Berth 10, Victoria Harbour, Docklands, 3008",Docklands,3008,Venue,http://www.victoriastar.com.au/,-37.81738056,144.9423024
105449,Duke Of Kent Hotel,"293-299 La Trobe Street, Melbourne, 3000",Melbourne,3000,Venue,,-37.81071423,144.9604994
630016,Max Watt's,"Gnd & Bmt, 125 Swanston Street, Melbourne, 3000",Melbourne,3000,Venue,http://www.maxwatts.com.au/melbourne/,-37.81474151,144.9660093
644830,Bird's Basement,"11 Singers Lane, Melbourne, 3000",Melbourne,3000,Venue,https://birdsbasement.com/,-37.81120983,144.9567972
542129,Cherry Bar,"Basement, 103 Flinders Lane, Melbourne, 3000",Melbourne,3000,Venue,http://cherrybar.com.au/,-37.81537653,144.970897
559514,Arrow On Swanston,"488 Swanston Street, Carlton, 3053",Carlton,3053,Venue,http://www.arrowonswanston.com.au/,-37.80545937,144.9632755
565950,The Last Chance Rock & Roll Bar,"238 Victoria Street, Melbourne, 3000",Melbourne,3000,Venue,https://www.facebook.com/thelastchancerockandrollbar/,-37.80601961,144.9585523
110148,The Australian Club,"110 William Street, Melbourne, 3000",Melbourne,3000,Venue,https://theaustralianclub.com.au/,-37.81667148,144.9588461
105967,Boney,"68 Little Collins Street, Melbourne, 3000",Melbourne,3000,Venue,http://www.boney.net.au/,-37.81290578,144.9713687
508983,Roxanne Bar,"Level 2-3, 2 Coverlid Place, Melbourne, 3000",Melbourne,3000,Venue,https://www.facebook.com/roxannebarmelbourne/,-37.81229008,144.9685609
644613,Urban Central Backpackers,"Pt Ground & Levels 1-5, 334-342 City Road, Southbank, 3006",Southbank,3006,Venue,http://urbancentral.com.au/,-37.82795248,144.9575823
